id,name,artist,spotify_id,preview,img,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,acousticness_artist,danceability_artist,energy_artist,instrumentalness_artist,liveness_artist,speechiness_artist,valence_artist
1433,wokeuplikethis*,Playboi Carti,59J5nzL1KniFHnU120dQzt,,https://i.scdn.co/image/ab67616d0000b273e31a279d267f3b3d8912e6f1,0.785,0.62,-6.667,0.254,0.0138,0,0.15,0.478,0.110704943,0.792928571,0.6063,5.82E-05,0.240112857,0.233422857,0.416857143
1434,Ocean Avenue,Yellowcard,23oxJmDc1V9uLUSmN2LIvx,,https://i.scdn.co/image/ab67616d0000b273d1fd8f264564d9eef7617a45,0.486,0.904,-3.751,0.0638,3.43E-05,2.83E-05,0.0947,0.786,0.030443687,0.417666667,0.904222222,6.01E-05,0.180738889,0.075988889,0.525388889
1435,Gentleman,SL,19xj9MPZsjMZBnj6c1rlIv,https://p.scdn.co/mp3-preview/6242b5f56b515a8843ba49f0d6c08783e78f1a6d?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2737237a3dc900a16bfbc7d1f0b,0.953,0.277,-14.465,0.633,0.594,0,0.0929,0.361,0.0908,0.62,0.611,0.48,0.0583,0.171,0.747
1436,By the Way,Red Hot Chili Peppers,1f2V8U1BiWaC9aJWmpOARe,https://p.scdn.co/mp3-preview/1b6ca5843bd21973cbb2c2410616dd10564e91da?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273de1af2785a83cc660155a0c4,0.451,0.97,-4.938,0.107,0.0264,0.00355,0.102,0.198,0.056689477,0.547803653,0.82326484,0.075691456,0.181637443,0.077571689,0.509851142
1437,(I Just) Died In Your Arms,Cutting Crew,4ByEFOBuLXpCqvO1kw8Wdm,,https://i.scdn.co/image/ab67616d0000b273fb2faa3ed46d1d0124ca325e,0.625,0.726,-11.402,0.0444,0.0158,0.000169,0.0625,0.507,0.03558,0.5416,0.6954,0.00438634,0.36506,0.03634,0.6478
1438,Location,Playboi Carti,3yk7PJnryiJ8mAPqsrujzf,,https://i.scdn.co/image/ab67616d0000b273e31a279d267f3b3d8912e6f1,0.717,0.79,-4.213,0.2,0.33,0.000125,0.518,0.371,0.110704943,0.792928571,0.6063,5.82E-05,0.240112857,0.233422857,0.416857143
1439,Ooh Ahh (My Life Be Like) (feat. Toby Mac),Grits,2cGJxXXIBrxMhk2fWUJTLs,https://p.scdn.co/mp3-preview/2041709b6679c0ac17dda6d65b7bb21419248c87?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273bd84a9a73163a75d9d8c6203,0.757,0.862,-3.519,0.0695,0.114,0.000192,0.285,0.823,0.114,0.757,0.862,0.000192,0.285,0.0695,0.823
1440,Talk Too Much,COIN,4djIFfof5TpbSGRZUpsTXq,https://p.scdn.co/mp3-preview/77993ef82505877038daf3671ec968803871884a?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273e086dd341bb0c30d235f9cac,0.598,0.888,-5.119,0.0807,0.00947,0,0.347,0.482,0.032537143,0.531428571,0.766428571,0.019682387,0.236857143,0.055085714,0.622571429
1441,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,0WQiDwKJclirSYG9v5tayI,https://p.scdn.co/mp3-preview/839d38dbf04ca2ff858eb03d0442358ffb393adb?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273ada101c2e9e97feb8fae37a9,0.523,0.769,-5.855,0.0269,0.04,0,0.136,0.876,0.108073433,0.492231405,0.76953719,0.073721497,0.249724793,0.046900826,0.643503306
1442,Cry Me a River,Justin Timberlake,7Lf7oSEVdzZqTA0kEDSlS5,https://p.scdn.co/mp3-preview/0e2f07ca487e1f5020547ee64f95662fca2a75ef?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273346a5742374ab4cf9ed32dee,0.624,0.653,-6.582,0.176,0.575,0,0.104,0.565,0.202713652,0.680443478,0.636217391,0.013019814,0.240909565,0.104457391,0.570874783
1443,El Color de Tus Ojos,Banda MS de Sergio Lizarraga,1l77YWrGUp3qX3NS1rz7lq,https://p.scdn.co/mp3-preview/93a4d89e6ba36fc58c6709a35eadc550c5d5925b?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2733d103ae957ac77aee4e42bd1,0.765,0.339,-8.965,0.0365,0.278,0,0.131,0.864,0.392911765,0.737676471,0.524058824,0.000191169,0.135655882,0.056182353,0.777382353
1444,I Got 5 On It,Luniz,4IYKjN1DrYzxKXt0umJqsG,,https://i.scdn.co/image/ab67616d0000b273c1ea4aac1ad07a38c59dd30c,0.6,0.706,-7.899,0.361,0.209,0,0.125,0.58,0.1978,0.573857143,0.697,0,0.139857143,0.347142857,0.645142857
1445,Caraluna,Bacilos,7DhYjNLksXZhbRQeheAums,https://p.scdn.co/mp3-preview/cf4fe4a741da944052250838e9ad6577a7b41e9d?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273e1f4c211ce1ef95454bbbcc4,0.76,0.773,-5.314,0.0675,0.176,0,0.1,0.895,0.178116667,0.726333333,0.772666667,1.67E-05,0.132566667,0.061383333,0.875166667
1446,Flaca,Andres Calamaro,1p7m9H4H8s0Y7SgRm7j3ED,https://p.scdn.co/mp3-preview/1d8b25d233f792654ab1e5592926c7451d94bbb1?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273e4b8ec3d2ffe1f77c7185d48,0.739,0.745,-6.658,0.0267,0.21,0.0135,0.127,0.949,0.307,0.594,0.7948,0.003714472,0.3288,0.03266,0.7174
